,Student,Examiner,Total Score_Preparation,Fixed Pass_Preparation,Weighted Score_Preparation,Weighted Pass_Preparation,Hard Criteria Score_Preparation,Hard Criteria Pass_Preparation,Total Score_Restoration,Fixed Pass_Restoration,Weighted Score_Restoration,Weighted Pass_Restoration,Hard Criteria Score_Restoration,Hard Criteria Pass_Restoration
0,Student 1,Examiner 1,11,TRUE,18.875,TRUE,6,TRUE,12,TRUE,19.375,TRUE,3,TRUE
1,Student 2,Examiner 1,6,FALSE,9.875,FALSE,1,FALSE,8,FALSE,14,TRUE,3,TRUE
2,Student 3,Examiner 1,9,FALSE,15.375,TRUE,5,TRUE,7,FALSE,13,TRUE,2,TRUE
3,Student 4,Examiner 1,7,FALSE,12.625,TRUE,3,FALSE,9,FALSE,15.625,TRUE,3,TRUE
4,Student 5,Examiner 1,10,FALSE,17.875,TRUE,3,FALSE,9,FALSE,15.625,TRUE,3,TRUE
5,Student 6,Examiner 1,9,FALSE,16.25,TRUE,3,FALSE,7,FALSE,10.75,FALSE,3,TRUE
6,Student 7,Examiner 1,9,FALSE,15.375,TRUE,5,TRUE,6,FALSE,10.75,FALSE,2,TRUE
7,Student 8,Examiner 1,14,TRUE,23,TRUE,7,TRUE,11,TRUE,18.375,TRUE,3,TRUE
8,Student 9,Examiner 1,11,TRUE,19.5,TRUE,5,TRUE,7,FALSE,12.625,TRUE,1,FALSE
9,Student 10,Examiner 1,12,TRUE,20,TRUE,7,TRUE,9,FALSE,15.75,TRUE,1,FALSE
10,Student 11,Examiner 1,12,TRUE,21.125,TRUE,5,TRUE,10,FALSE,17.375,TRUE,1,FALSE
11,Student 12,Examiner 1,8,FALSE,14,TRUE,5,TRUE,8,FALSE,14.625,TRUE,1,FALSE
12,Student 13,Examiner 1,10,FALSE,18.25,TRUE,4,FALSE,9,FALSE,15.625,TRUE,3,TRUE
13,Student 14,Examiner 1,13,TRUE,22.375,TRUE,5,TRUE,11,TRUE,18.75,TRUE,2,TRUE
14,Student 15,Examiner 1,10,FALSE,17.125,TRUE,4,FALSE,8,FALSE,13.75,TRUE,0,FALSE
15,Student 16,Examiner 1,6,FALSE,11.125,FALSE,3,FALSE,9,FALSE,15.125,TRUE,2,TRUE
16,Student 17,Examiner 1,12,TRUE,20,TRUE,5,TRUE,8,FALSE,13.625,TRUE,2,TRUE
17,Student 18,Examiner 1,10,FALSE,18.5,TRUE,3,FALSE,9,FALSE,15,TRUE,3,TRUE
18,Student 19,Examiner 1,11,TRUE,18,TRUE,6,TRUE,9,FALSE,15.75,TRUE,3,TRUE
