Date,Transaction type,Description,Amount,14769692-Transactions-11/05/2026.csv,04/04/2024 - 10/05/2026,Total Number of Records: 164
10/05/2026,InvestmentEarnings,Estimated investment returns since 01 Jan 2026 - Conservative Balanced,296.14
04/05/2026,Contribution,Award Contribution From The University Of Melbourne,962.82
04/05/2026,ContributionTaxes,Contribution Tax,-144.42
30/04/2026,FeeDeductions,Administration Fee,-8.00
30/04/2026,ContributionTaxes,Contribution Tax Adjustment,1.77
30/04/2026,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-2.46
30/04/2026,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-1.31
08/04/2026,Contribution,Award Contribution From The University Of Melbourne,511.39
08/04/2026,ContributionTaxes,Contribution Tax,-76.71
31/03/2026,FeeDeductions,Administration Fee,-8.00
31/03/2026,ContributionTaxes,Contribution Tax Adjustment,1.78
31/03/2026,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-2.55
31/03/2026,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-1.36
25/03/2026,Contribution,Award Contribution From The University Of Melbourne,460.25
25/03/2026,ContributionTaxes,Contribution Tax,-69.04
11/03/2026,Contribution,Award Contribution From The University Of Melbourne,511.39
11/03/2026,ContributionTaxes,Contribution Tax,-76.71
28/02/2026,FeeDeductions,Administration Fee,-8.00
28/02/2026,ContributionTaxes,Contribution Tax Adjustment,1.73
28/02/2026,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-2.30
28/02/2026,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-1.23
25/02/2026,Contribution,Award Contribution From The University Of Melbourne,511.39
25/02/2026,ContributionTaxes,Contribution Tax,-76.71
11/02/2026,Contribution,Award Contribution From The University Of Melbourne,409.11
11/02/2026,ContributionTaxes,Contribution Tax,-61.37
31/01/2026,FeeDeductions,Administration Fee,-8.00
31/01/2026,ContributionTaxes,Contribution Tax Adjustment,1.78
31/01/2026,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-2.55
31/01/2026,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-1.36
29/01/2026,Contribution,Award Contribution From The University Of Melbourne,613.67
29/01/2026,ContributionTaxes,Contribution Tax,-92.05
09/01/2026,Contribution,Award Contribution From The University Of Melbourne,664.81
09/01/2026,ContributionTaxes,Contribution Tax,-99.72
31/12/2025,FeeDeductions,Administration Fee,-8.00
31/12/2025,ContributionTaxes,Contribution Tax Adjustment,1.78
31/12/2025,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-2.55
31/12/2025,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-1.36
31/12/2025,InvestmentEarnings,Investment Returns - Conservative Balanced,322.74
03/12/2025,Contribution,Award Contribution From The University Of Melbourne,511.39
03/12/2025,ContributionTaxes,Contribution Tax,-76.71
30/11/2025,FeeDeductions,Administration Fee,-8.00
30/11/2025,ContributionTaxes,Contribution Tax Adjustment,1.77
30/11/2025,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-2.46
30/11/2025,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-1.31
19/11/2025,Contribution,Award Contribution From The University Of Melbourne,462.26
19/11/2025,ContributionTaxes,Contribution Tax,-69.34
06/11/2025,Contribution,Award Contribution From The University Of Melbourne,501.30
06/11/2025,ContributionTaxes,Contribution Tax,-75.20
31/10/2025,FeeDeductions,Administration Fee,-8.00
31/10/2025,ContributionTaxes,Contribution Tax Adjustment,1.78
31/10/2025,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-2.55
31/10/2025,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-1.36
23/10/2025,Contribution,Award Contribution From The University Of Melbourne,501.30
23/10/2025,ContributionTaxes,Contribution Tax,-75.20
09/10/2025,Contribution,Award Contribution From The University Of Melbourne,458.08
09/10/2025,ContributionTaxes,Contribution Tax,-68.71
30/09/2025,FeeDeductions,Administration Fee,-8.00
30/09/2025,ContributionTaxes,Contribution Tax Adjustment,1.77
30/09/2025,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-2.46
30/09/2025,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-1.31
25/09/2025,Contribution,Award Contribution From The University Of Melbourne,501.30
25/09/2025,ContributionTaxes,Contribution Tax,-75.20
11/09/2025,Contribution,Award Contribution From The University Of Melbourne,501.30
11/09/2025,ContributionTaxes,Contribution Tax,-75.20
31/08/2025,FeeDeductions,Administration Fee,-8.00
31/08/2025,ContributionTaxes,Contribution Tax Adjustment,1.54
31/08/2025,InsurancePremiums,Insurance Premium - Death Cover (Unitised) - Metlife,-1.48
31/08/2025,InsurancePremiums,Insurance Premium - Tpd Cover (Unitised) - Metlife,-0.79
28/08/2025,Contribution,Award Contribution From The University Of Melbourne,1002.60
28/08/2025,ContributionTaxes,Contribution Tax,-150.39
14/08/2025,Contribution,Award Contribution From The University Of Melbourne,501.30
14/08/2025,ContributionTaxes,Contribution Tax,-75.20
31/07/2025,FeeDeductions,Administration Fee,-8.00
31/07/2025,ContributionTaxes,Contribution Tax Adjustment,1.20
17/07/2025,Contribution,Award Contribution From The University Of Melbourne,1303.38
17/07/2025,ContributionTaxes,Contribution Tax,-195.51
30/06/2025,FeeDeductions,Administration Fee,-8.00
30/06/2025,ContributionTaxes,Contribution Tax Adjustment,1.20
30/06/2025,InvestmentEarnings,Investment Returns - Conservative Balanced,605.54
30/06/2025,GovernmentTaxes,No-Tfn Contributions Tax,-3456.72
05/06/2025,Contribution,Award Contribution From The University Of Melbourne,480.41
05/06/2025,ContributionTaxes,Contribution Tax,-72.06
31/05/2025,FeeDeductions,Administration Fee,-8.00
31/05/2025,ContributionTaxes,Contribution Tax Adjustment,1.20
22/05/2025,Contribution,Award Contribution From The University Of Melbourne,816.34
22/05/2025,ContributionTaxes,Contribution Tax,-122.45
30/04/2025,FeeDeductions,Administration Fee,-8.00
30/04/2025,ContributionTaxes,Contribution Tax Adjustment,1.20
16/04/2025,Contribution,Award Contribution From The University Of Melbourne,468.74
16/04/2025,ContributionTaxes,Contribution Tax,-70.31
10/04/2025,Contribution,Award Contribution From The University Of Melbourne,910.00
10/04/2025,ContributionTaxes,Contribution Tax,-136.50
09/04/2025,InvestmentSwitches,Switch From Balanced,-7025.54
09/04/2025,InvestmentSwitches,Switch To Conservative Balanced,7025.54
08/04/2025,InvestmentEarnings,Investment Returns - Balanced,-375.90
31/03/2025,FeeDeductions,Administration Fee,-8.00
31/03/2025,ContributionTaxes,Contribution Tax Adjustment,1.20
13/03/2025,Contribution,Award Contribution From The University Of Melbourne,468.74
13/03/2025,ContributionTaxes,Contribution Tax,-70.31
28/02/2025,FeeDeductions,Administration Fee,-8.00
28/02/2025,ContributionTaxes,Contribution Tax Adjustment,1.20
27/02/2025,Contribution,Award Contribution From The University Of Melbourne,468.74
27/02/2025,ContributionTaxes,Contribution Tax,-70.31
18/02/2025,Contribution,Award Contribution From The University Of Melbourne,897.08
18/02/2025,ContributionTaxes,Contribution Tax,-134.56
31/01/2025,FeeDeductions,Administration Fee,-8.00
31/01/2025,ContributionTaxes,Contribution Tax Adjustment,1.20
30/01/2025,Contribution,Award Contribution From The University Of Melbourne,281.24
30/01/2025,ContributionTaxes,Contribution Tax,-42.19
14/01/2025,Contribution,Award Contribution From The University Of Melbourne,468.74
14/01/2025,ContributionTaxes,Contribution Tax,-70.31
31/12/2024,FeeDeductions,Administration Fee,-7.99
31/12/2024,ContributionTaxes,Contribution Tax Adjustment,1.20
31/12/2024,InvestmentEarnings,Investment Returns - Balanced,153.23
19/12/2024,Contribution,Award Contribution From The University Of Melbourne,468.74
19/12/2024,ContributionTaxes,Contribution Tax,-70.31
05/12/2024,Contribution,Award Contribution From The University Of Melbourne,468.74
05/12/2024,ContributionTaxes,Contribution Tax,-70.31
30/11/2024,FeeDeductions,Administration Fee,-7.14
30/11/2024,ContributionTaxes,Contribution Tax Adjustment,1.07
21/11/2024,Contribution,Award Contribution From The University Of Melbourne,898.68
21/11/2024,ContributionTaxes,Contribution Tax,-134.80
31/10/2024,FeeDeductions,Administration Fee,-5.87
31/10/2024,ContributionTaxes,Contribution Tax Adjustment,0.88
24/10/2024,Contribution,Award Contribution From The University Of Melbourne,468.74
24/10/2024,ContributionTaxes,Contribution Tax,-70.31
10/10/2024,Contribution,Award Contribution From The University Of Melbourne,421.87
10/10/2024,ContributionTaxes,Contribution Tax,-63.28
30/09/2024,FeeDeductions,Administration Fee,-4.63
30/09/2024,ContributionTaxes,Contribution Tax Adjustment,0.69
26/09/2024,Contribution,Award Contribution From The University Of Melbourne,468.74
26/09/2024,ContributionTaxes,Contribution Tax,-70.31
13/09/2024,Contribution,Award Contribution From The University Of Melbourne,468.74
13/09/2024,ContributionTaxes,Contribution Tax,-70.31
31/08/2024,FeeDeductions,Administration Fee,-3.30
31/08/2024,ContributionTaxes,Contribution Tax Adjustment,0.50
29/08/2024,Contribution,Award Contribution From The University Of Melbourne,468.74
29/08/2024,ContributionTaxes,Contribution Tax,-70.31
15/08/2024,Contribution,Award Contribution From The University Of Melbourne,468.74
15/08/2024,ContributionTaxes,Contribution Tax,-70.31
01/08/2024,Contribution,Award Contribution From The University Of Melbourne,337.81
01/08/2024,ContributionTaxes,Contribution Tax,-50.67
31/07/2024,FeeDeductions,Administration Fee,-1.50
31/07/2024,ContributionTaxes,Contribution Tax Adjustment,0.23
18/07/2024,Contribution,Award Contribution From The University Of Melbourne,206.89
18/07/2024,ContributionTaxes,Contribution Tax,-31.03
04/07/2024,Contribution,Award Contribution From The University Of Melbourne,395.79
04/07/2024,ContributionTaxes,Contribution Tax,-59.37
30/06/2024,FeeDeductions,Administration Fee,-1.01
30/06/2024,ContributionTaxes,Contribution Tax Adjustment,0.15
30/06/2024,InvestmentEarnings,Investment Returns - Balanced,8.66
30/06/2024,GovernmentTaxes,No-Tfn Contributions Tax,-229.08
06/06/2024,Contribution,Award Contribution From The University Of Melbourne,394.83
06/06/2024,ContributionTaxes,Contribution Tax,-59.22
31/05/2024,FeeDeductions,Administration Fee,-0.45
31/05/2024,ContributionTaxes,Contribution Tax Adjustment,0.07
23/05/2024,Contribution,Award Contribution From The University Of Melbourne,5.95
23/05/2024,ContributionTaxes,Contribution Tax,-0.89
07/05/2024,Contribution,Award Contribution From The University Of Melbourne,196.20
07/05/2024,ContributionTaxes,Contribution Tax,-29.43
30/04/2024,FeeDeductions,Administration Fee,-0.17
30/04/2024,ContributionTaxes,Contribution Tax Adjustment,0.03
24/04/2024,Contribution,Award Contribution From The University Of Melbourne,118.91
24/04/2024,ContributionTaxes,Contribution Tax,-17.84
